#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-12-12;Albanie;333535;3594;0;1.08;0.00;98.92
2022-12-12;Bosnie-Herzégovine;400698;16215;0;4.05;0.00;95.95
2022-12-12;Bahreïn;697461;1536;0;0.22;0.00;99.78
2022-12-12;Bolivie;1120512;22253;0;1.99;0.00;98.01
2022-12-12;Bélarus;994037;7118;0;0.72;0.00;99.28
2022-12-12;Congo (Brazzaville);25375;386;0;1.52;0.00;98.48
2022-12-12;Chine;1884218;5235;0;0.28;0.00;99.72
2022-12-12;Danemark;3379312;7617;0;0.23;0.00;99.77
2022-12-12;Égypte;515645;24799;0;4.81;0.00;95.19
2022-12-12;Fidji;68553;878;0;1.28;0.00;98.72
2022-12-12;Royaume-Uni;24261291;213398;0;0.88;0.00;99.12
2022-12-12;Gibraltar;20207;110;0;0.54;0.00;99.46
2022-12-12;Grèce;5448700;34482;0;0.63;0.00;99.37
2022-12-12;Hong-Kong;2261726;10984;0;0.49;0.00;99.51
2022-12-12;Indonésie;6700015;160255;0;2.39;0.00;97.61
2022-12-12;Iraq;2464375;25366;0;1.03;0.00;98.97
2022-12-12;Jordanie;1746997;14122;0;0.81;0.00;99.19
2022-12-12;Comores;8977;161;0;1.79;0.00;98.21
2022-12-12;Kazakhstan;1488306;19056;0;1.28;0.00;98.72
2022-12-12;Libéria;8037;294;0;3.66;0.00;96.34
2022-12-12;Maroc;1270179;16288;0;1.28;0.00;98.72
2022-12-12;Îles Marshall;15547;17;0;0.11;0.00;99.89
2022-12-12;Maldives;185651;311;0;0.17;0.00;99.83
2022-12-12;Nouvelle-Calédonie;77263;314;0;0.41;0.00;99.59
2022-12-12;Norvège;1471132;4498;0;0.31;0.00;99.69
2022-12-12;Panama;1009252;8533;0;0.85;0.00;99.15
2022-12-12;Pologne;6357700;118382;0;1.86;0.00;98.14
2022-12-12;Palaos;5896;7;0;0.12;0.00;99.88
2022-12-12;Russie;21364571;384749;0;1.80;0.00;98.20
2022-12-12;Suède;2640369;21234;0;0.80;0.00;99.20
2022-12-12;Sierra Leone;7760;126;0;1.62;0.00;98.38
2022-12-12;Sao Tomé-et-Principe;6279;77;0;1.23;0.00;98.77
2022-12-12;Taïwan;8481040;14710;0;0.17;0.00;99.83
2022-12-12;Uruguay;998047;7548;0;0.76;0.00;99.24
2022-12-12;Yémen;11945;2159;0;18.07;0.00;81.93
2022-12-12;Argentine;9766975;130041;0;1.33;0.00;98.67
2022-12-12;Azerbaïdjan;824879;9987;0;1.21;0.00;98.79
2022-12-12;Bulgarie;1289255;38067;0;2.95;0.00;97.05
2022-12-12;Brunéi Darussalam;261440;225;0;0.09;0.00;99.91
2022-12-12;Botswana;327061;2793;0;0.85;0.00;99.15
2022-12-12;République Centrafricaine;15311;113;0;0.74;0.00;99.26
2022-12-12;Cameroun;123993;1965;0;1.58;0.00;98.42
2022-12-12;Cap-vert;63130;412;0;0.65;0.00;99.35
2022-12-12;Djibouti;15690;189;0;1.20;0.00;98.80
2022-12-12;Estonie;609827;2799;0;0.46;0.00;99.54
2022-12-12;Finlande;1417909;7572;0;0.53;0.00;99.47
2022-12-12;Gabon;48973;306;0;0.62;0.00;99.38
2022-12-12;Ghana;171023;1461;0;0.85;0.00;99.15
2022-12-12;Guinée Équatoriale;17184;183;0;1.06;0.00;98.94
2022-12-12;Guyana;71757;1285;0;1.79;0.00;98.21
2022-12-12;Hongrie;2171056;48337;0;2.23;0.00;97.77
2022-12-12;Jamaïque;152669;3433;0;2.25;0.00;97.75
2022-12-12;Kiribati;3430;13;0;0.38;0.00;99.62
2022-12-12;Sri Lanka;671761;16808;0;2.50;0.00;97.50
2022-12-12;Libye;507100;6437;0;1.27;0.00;98.73
2022-12-12;Madagascar;67621;1414;0;2.09;0.00;97.91
2022-12-12;Macao;1040;6;0;0.58;0.00;99.42
2022-12-12;Maurice;284994;1038;0;0.36;0.00;99.64
2022-12-12;Namibie;169946;4080;0;2.40;0.00;97.60
2022-12-12;Pays-Bas;8662418;23641;0;0.27;0.00;99.73
2022-12-12;Oman;399119;4628;0;1.16;0.00;98.84
2022-12-12;Pakistan;1575486;30635;0;1.94;0.00;98.06
2022-12-12;Portugal;5549479;25584;0;0.46;0.00;99.54
2022-12-12;Serbie;2430656;17441;0;0.72;0.00;99.28
2022-12-12;Soudan;63663;4992;0;7.84;0.00;92.16
2022-12-12;Slovaquie;2652801;20764;0;0.78;0.00;99.22
2022-12-12;Soudan du sud;18352;138;0;0.75;0.00;99.25
2022-12-12;Tchad;7648;194;0;2.54;0.00;97.46
2022-12-12;Timor-Leste;23372;138;0;0.59;0.00;99.41
2022-12-12;Tuvalu;2805;0;0;0.00;0.00;100.00
2022-12-12;États-Unis;99470198;1084651;0;1.09;0.00;98.91
2022-12-12;Kosovo;272219;3202;0;1.18;0.00;98.82
2022-12-12;Autres;721;15;0;2.08;0.00;97.92
2022-12-12;Antigua-et-Barbuda;9106;146;0;1.60;0.00;98.40
2022-12-12;Antarctique;11;0;0;0.00;0.00;100.00
2022-12-12;Burkina Faso;21631;387;0;1.79;0.00;98.21
2022-12-12;Rép. Dém. du Congo;94714;1457;0;1.54;0.00;98.46
2022-12-12;Chili;4961151;62745;0;1.26;0.00;98.74
2022-12-12;Cuba;1111564;8530;0;0.77;0.00;99.23
2022-12-12;Allemagne;36812671;159177;0;0.43;0.00;99.57
2022-12-12;Équateur;1018179;35940;0;3.53;0.00;96.47
2022-12-12;Éthiopie;495284;7572;0;1.53;0.00;98.47
2022-12-13;France;37501314;156310;0;0.42;0.00;99.58
2022-12-12;Guadeloupe;198608;997;0;0.50;0.00;99.50
2022-12-12;Guinée-Bissau;8848;176;0;1.99;0.00;98.01
2022-12-12;Haïti;33874;860;0;2.54;0.00;97.46
2022-12-12;Inde;44676318;530658;0;1.19;0.00;98.81
2022-12-12;Cambodge;138276;3056;0;2.21;0.00;97.79
2022-12-12;Koweït;662747;2570;0;0.39;0.00;99.61
2022-12-12;Liechtenstein;21094;88;0;0.42;0.00;99.58
2022-12-12;Lettonie;968527;6111;0;0.63;0.00;99.37
2022-12-12;Saint Martin;12104;63;0;0.52;0.00;99.48
2022-12-12;Mongolie;994079;2135;0;0.21;0.00;99.79
2022-12-12;Malte;115981;809;0;0.70;0.00;99.30
2022-12-12;Mozambique;230816;2229;0;0.97;0.00;99.03
2022-12-12;Nicaragua;15263;245;0;1.61;0.00;98.39
2022-12-12;Nouvelle-Zélande;2026272;2258;0;0.11;0.00;99.89
2022-12-12;Philippines;4050045;64902;0;1.60;0.00;98.40
2022-12-12;Palestine;703228;5708;0;0.81;0.00;99.19
2022-12-12;Roumanie;3301662;67310;0;2.04;0.00;97.96
2022-12-12;Seychelles;50068;171;0;0.34;0.00;99.66
2022-12-12;Suriname;81581;1393;0;1.71;0.00;98.29
2022-12-12;Trinité-et-Tobago;185528;4268;0;2.30;0.00;97.70
2022-12-12;Venezuela;548455;5830;0;1.06;0.00;98.94
2022-12-12;Samoa;15970;29;0;0.18;0.00;99.82
2022-12-12;Zimbabwe;259356;5622;0;2.17;0.00;97.83
2022-12-12;Afghanistan;206702;7840;0;3.79;0.00;96.21
2022-12-12;Angola;104808;1925;0;1.84;0.00;98.16
